date,settle,inventory_change_mmbbl,managed_money_net_k,dollar_index
2006-06-16,69.87999725341797,1.385,9.698,98.9127
2006-06-23,70.87000274658203,-3.329,2.513,99.4216
2006-06-30,73.9800033569336,-2.421,26.533,98.2483
2006-07-07,74.08999633789062,-5.93,47.729,97.7508
2006-07-14,77.02999877929688,0.151,50.644,98.6814
2006-07-21,74.43000030517578,0.03,53.52,98.5221
2006-07-28,73.23999786376953,-1.774,36.441,98.0539
2006-08-04,74.76000213623047,-1.186,45.607,97.6005
2006-08-11,74.3499984741211,-1.607,55.005,97.7863
2006-08-18,71.13999938964844,-0.643,39.122,97.7577
2006-08-25,72.51000213623047,2.481,23.468,97.8827
2006-09-01,69.19000244140625,-2.104,23.317,97.5084
2006-09-08,66.25,-2.904,13.997,98.2119
2006-09-15,63.33000183105469,-2.848,12.545,98.2104
2006-09-22,60.54999923706055,-0.109,9.938,97.8667
2006-09-29,62.90999984741211,3.355,15.518,98.1054
2006-10-06,59.7599983215332,2.131,-0.295,98.5619
2006-10-13,58.56999969482422,5.02,5.067,98.8002
2006-10-20,56.81999969482422,-3.205,7.102,98.1629
2006-10-27,60.75,1.91,6.257,97.4914
2006-11-03,59.13999938964844,0.517,8.036,97.7209
2006-11-10,59.59000015258789,1.283,25.002,97.4638
2006-11-17,55.810001373291016,5.161,19.681,97.9855
2006-11-24,59.2400016784668,-0.36,17.29,97.0657
2006-12-01,63.43000030517578,-1.19,19.802,96.4585
2006-12-08,62.029998779296875,-4.295,40.431,96.6123
2006-12-15,63.43000030517578,-6.323,39.134,96.9857
2006-12-22,62.40999984741211,-8.132,36.18,97.1113
2006-12-29,61.04999923706055,-1.299,24.852,97.0312
2007-01-05,56.310001373291016,-5.749,7.044,97.7801
2007-01-12,52.9900016784668,6.768,1.515,97.921
2007-01-19,51.9900016784668,0.789,17.85,97.6868
2007-01-26,55.41999816894531,2.684,23.758,98.1491
2007-02-02,59.02000045776367,-0.518,29.722,97.9743
2007-02-09,59.88999938964844,-0.589,21.374,97.7076
2007-02-16,59.38999938964844,3.694,44.307,97.164
2007-02-23,61.13999938964844,1.421,34.477,97.1756
2007-03-02,61.63999938964844,-4.897,43.829,97.3691
2007-03-09,60.04999923706055,1.18,47.233,97.4559
2007-03-16,57.11000061035156,3.924,50.152,97.0407
2007-03-23,62.279998779296875,-0.846,29.161,96.5662
2007-03-30,65.87000274658203,4.307,43.103,96.3183
2007-04-06,64.27999877929688,0.832,66.019,96.2526
2007-04-13,63.630001068115234,-0.994,69.603,95.711
2007-04-20,63.380001068115234,2.074,56.3,95.1692
2007-04-27,66.45999908447266,1.169,46.008,95.0103
2007-05-04,61.93000030517578,5.472,52.136,94.9118
2007-05-11,62.369998931884766,1.061,33.156,95.0035
2007-05-18,64.94000244140625,1.969,10.881,94.6573
2007-05-25,65.19999694824219,-1.956,41.182,94.5022
2007-06-01,65.08000183105469,0.213,18.899,94.132
2007-06-08,64.76000213623047,0.082,42.892,94.7599
2007-06-15,68.0,6.902,49.586,94.6228
2007-06-22,69.13999938964844,1.562,79.699,94.4371
2007-06-29,70.68000030517578,3.151,68.267,94.1393
2007-07-06,72.80999755859375,-1.588,95.918,93.5759
2007-07-13,73.93000030517578,-0.449,113.46,93.0133
2007-07-20,75.56999969482422,-1.103,122.71,92.7179
2007-07-27,77.0199966430664,-6.497,130.199,93.5485
2007-08-03,75.4800033569336,-3.961,142.498,93.1039
2007-08-10,71.47000122070312,-5.167,105.987,93.5214
2007-08-17,71.9800033569336,1.89,72.104,94.319
2007-08-24,71.08999633789062,-3.486,56.051,93.6863
2007-08-31,74.04000091552734,-3.972,50.806,93.6674
2007-09-07,76.69999694824219,-7.013,78.076,93.2939
2007-09-14,79.0999984741211,-3.874,78.273,92.7083
2007-09-21,81.62000274658203,1.842,103.21,91.4854
2007-09-28,81.66000366210938,1.138,100.69,90.9446
2007-10-05,81.22000122070312,-1.809,111.098,90.7393
2007-10-12,83.69000244140625,1.784,108.969,90.5945
2007-10-19,88.5999984741211,-5.288,90.88,90.1014
2007-10-26,91.86000061035156,-3.894,89.044,89.6508
2007-11-02,95.93000030517578,-0.96,80.497,88.8924
2007-11-09,96.31999969482422,2.814,89.698,88.4615
2007-11-16,95.0999984741211,-1.071,82.765,89.3182
2007-11-23,98.18000030517578,-0.452,83.729,89.2384
2007-11-30,88.70999908447266,-7.913,77.275,89.6212
2007-12-07,88.27999877929688,-1.089,63.786,89.74
2007-12-14,91.2699966430664,-7.586,68.3,90.4345
2007-12-21,93.30999755859376,-3.299,65.263,90.3672
2007-12-28,96.0,-4.056,79.673,89.4069
2008-01-04,97.91000366210938,-6.504,87.405,89.2467
2008-01-11,92.69000244140624,4.259,88.349,89.5215
2008-01-18,90.56999969482422,2.297,81.535,89.8993
2008-01-25,90.70999908447266,3.555,56.81,89.2184
2008-02-01,88.95999908447266,6.868,49.116,88.4824
2008-02-08,91.7699966430664,1.066,45.631,89.2226
2008-02-15,95.5,4.204,67.647,88.9006
2008-02-22,98.80999755859376,3.231,81.212,88.7082
2008-02-29,101.83999633789062,-3.056,103.302,87.1654
2008-03-07,105.1500015258789,6.4,109.372,87.1258
2008-03-14,110.20999908447266,0.133,102.132,86.4301
2008-03-21,101.83999633789062,0.088,90.488,87.2111
2008-03-28,105.62000274658205,7.317,74.386,86.6369
2008-04-04,106.2300033569336,-3.207,61.659,86.5108
2008-04-11,110.13999938964844,-2.356,84.361,86.5029
2008-04-18,116.69000244140624,2.421,91.622,86.5277
2008-04-25,118.5199966430664,3.848,114.742,86.8337
2008-05-02,116.31999969482422,5.653,108.981,87.2311
2008-05-09,125.95999908447266,0.176,113.176,87.2528
2008-05-16,126.29000091552734,-5.317,103.848,86.7855
2008-05-23,132.19000244140625,-8.883,88.797,86.1922
2008-05-30,127.3499984741211,-4.802,77.381,86.5504
2008-06-06,138.5399932861328,-4.577,76.965,86.8028
2008-06-13,134.86000061035156,-1.242,73.521,87.7622
2008-06-20,134.6199951171875,0.803,58.077,86.9036
2008-06-27,140.2100067138672,-1.982,63.466,86.643
2008-07-04,145.2899932861328,-5.706,75.815,86.8781
2008-07-11,145.0800018310547,2.952,60.771,86.221
2008-07-18,128.8800048828125,-1.558,69.482,86.0735
