model,category,forecast,probability_up,signal,realized_return,strategy_return,date
Zero-return,Baseline,0.0,,0,0.006560492948994856,0.0,2012-03-02
Historical mean,Baseline,0.004021516270177589,,1,0.006560492948994856,0.006560492948994856,2012-03-02
Ridge,Regression,0.012795540259876451,,1,0.006560492948994856,0.006560492948994856,2012-03-02
Tuned Ridge,Regression,0.011325511520805177,,1,0.006560492948994856,0.006560492948994856,2012-03-02
ElasticNet,Regression,0.015016775225852604,,1,0.006560492948994856,0.006560492948994856,2012-03-02
Logistic regression,Classifier,-0.002238978196437362,0.47340875101283303,0,0.006560492948994856,0.0,2012-03-02
Calibrated logistic regression,Classifier,0.00908914813677079,0.6079473670492612,1,0.006560492948994856,0.006560492948994856,2012-03-02
Random forest,Tree classifier,0.003896269602341195,0.5462740884577807,0,0.006560492948994856,0.0,2012-03-02
Gradient boosting,Tree classifier,0.006764476135943578,0.5803383746589589,0,0.006560492948994856,0.0,2012-03-02
Rule: trend plus inventory,Rule-based,0.04209990658050512,,1,0.006560492948994856,0.006560492948994856,2012-03-02
Rule: positioning contrarian,Rule-based,-0.04209990658050512,,-1,0.006560492948994856,-0.006560492948994856,2012-03-02
Rule: inventory reversion,Rule-based,0.0,,0,0.006560492948994856,0.0,2012-03-02
Zero-return,Baseline,0.0,,0,-0.003165772462332961,-0.0,2012-03-09
Historical mean,Baseline,0.004235053467746859,,1,-0.003165772462332961,-0.003165772462332961,2012-03-09
Ridge,Regression,0.00833290487417028,,1,-0.003165772462332961,-0.003165772462332961,2012-03-09
Tuned Ridge,Regression,0.00830773993866079,,1,-0.003165772462332961,-0.003165772462332961,2012-03-09
ElasticNet,Regression,0.010295109546695595,,1,-0.003165772462332961,-0.003165772462332961,2012-03-09
Logistic regression,Classifier,-0.001352924628331592,0.48386949518745975,0,-0.003165772462332961,-0.0,2012-03-09
Calibrated logistic regression,Classifier,0.008777316846674939,0.604649252938117,1,-0.003165772462332961,-0.003165772462332961,2012-03-09
Random forest,Tree classifier,0.004293733659100226,0.551192867659814,0,-0.003165772462332961,-0.0,2012-03-09
Gradient boosting,Tree classifier,0.011399213295707401,0.6359093190226962,1,-0.003165772462332961,-0.003165772462332961,2012-03-09
Rule: trend plus inventory,Rule-based,0.041936834713312734,,1,-0.003165772462332961,-0.003165772462332961,2012-03-09
Rule: positioning contrarian,Rule-based,-0.041936834713312734,,-1,-0.003165772462332961,0.003165772462332961,2012-03-09
Rule: inventory reversion,Rule-based,0.0,,0,-0.003165772462332961,-0.0,2012-03-09
Zero-return,Baseline,0.0,,0,-0.0017746573542347654,-0.0,2012-03-16
